Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,광주광역시 북구청 권리처리 목록,,,,,,,,,,,,,,,,
,순번,사이트명,관리번호,다른 작품,취득년도,취득일,작가명,작품명,부문,방법,기증자,작가 구분,생년,비고(내부검토),최종 공공누리 유형,계약서 유무,비고
,1,광주광역시 북구청,1,"137,183,220,233,275,412",1998,1998.10.19,노의웅,自然親和,서양화,,,,,,개방불가,연락 불가,
,2,광주광역시 북구청,92,,2005,2005.4.13,한경수,나로도의 情,서양화,기증,한경수,,,,개방불가,구두 동의 이후 회신 없음,
,3,광주광역시 북구청,99,,2006,2006.09.15,강일호,노스텔지어(Nostalalgia),한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,4,광주광역시 북구청,102,,2006,2006.11.8,최현철,운해(雲海),한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,5,광주광역시 북구청,106,,2007,2007.02.20,김옥진,산수,한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,6,광주광역시 북구청,110,,2007,2007.04.23,심상철,한라산 전경,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,7,광주광역시 북구청,112,,2007,2007.06.21,서화금,무등산,한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,8,광주광역시 북구청,126,298,2007,2007.12.31,정명돈,매몰도,한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,9,광주광역시 북구청,131,"214, 239",2008,2008.03.11,장복수,월출산의 가을,한국화,구입,,,,북구문화센터 보관,개방불가,구두 동의 이후 회신 없음,
,10,광주광역시 북구청,137,"1,183,220,233,275,412",2008,2008.05.14,노의웅,백두산-2,서양화,,,,,,개방불가,연락 불가,
,11,광주광역시 북구청,142,,2008,2008.07.15,이종일,월출동의 옹기마을,사진,기증,이종일,기타,,,개방불가,구두 동의 이후 회신 없음,
,12,광주광역시 북구청,144,,2008,2008.08.28,김용안,무제(Untitled),서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,13,광주광역시 북구청,158,,2009,2009.03.06,김생수,연학도,한국화,구입,,,,북구문화센터 보관,개방불가,구두 동의 이후 회신 없음,
,14,광주광역시 북구청,183,"1,137,220,233,275,412",2007,2007.07.18,노의웅,금강산향연,서양화,,"행정지원과이관
보험가입(청사외부로 나갈 경우 보험에서 제외됨)",,,,개방불가,연락 불가,
,15,광주광역시 북구청,197,,2009,2009.04.28,한희원,푸른신화 라닥크의 강,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,16,광주광역시 북구청,204,"277,387",2009,2009.09.24,안용욱,봄날에,한국화,구입,,,,,제4유형,이용허락동의서 작성,
,17,광주광역시 북구청,206,"218,307",2009,2009.09.29,윤병학,찰나-上善若水,서양화,구입,,,,,제4유형,이용허락동의서 작성,
,18,광주광역시 북구청,210,,2009,2009.12.11,이대행,통영앞바다,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,19,광주광역시 북구청,212,,2009,2009.12.21,곽미녀,신비,한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,20,광주광역시 북구청,214,"131,249",2010,2010.01.22,장복수,어머니의 땅,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,21,광주광역시 북구청,218,"206,307",2010,2010.03.08,윤병학,찰라-고독한군중,서양화,구입,,,,,제4유형,이용허락동의서 작성,
,22,광주광역시 북구청,219,,2010,2010.03.22,유수종,달맞이,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,23,광주광역시 북구청,220,"1,137,183,233,275,412",2010,2010.04.02,노의웅,구름천사,서양화,구입,,,,,개방불가,연락 불가,
,24,광주광역시 북구청,233,"1,137,183,220,275,412",2003,2003.08.20,노의웅,금강산,서양화,,,,,보험가입(청사외부로 나갈 경우 보험에서 제외됨),개방불가,연락 불가,
,25,광주광역시 북구청,236,,2009,2009.09.24,이현정,Welcome-My Wonderland,서양화,기증,이현정,,,"주민자치과이관
액자집",개방불가,구두 동의 이후 회신 없음,
,26,광주광역시 북구청,238,"253,299,335,394",2010,2010.06.23,박유자,가족4-사랑합니다,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,27,광주광역시 북구청,241,,2010,2010.09.16,이귀원,연이있는 풍경,서양화,구입,,장애인작가,,,개방불가,구두 동의 이후 회신 없음,
,28,광주광역시 북구청,242,,2010,2010.12.23,이승대,풍경 10-68,한국화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,29,광주광역시 북구청,244,,2011,2011.01.13,윤순홍,愛書圖(애서도),서양화,기증,윤순홍,,,,개방불가,구두 동의 이후 회신 없음,
,30,광주광역시 북구청,248,500,2011,2011.03.29,정정임,자연의 심장,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,31,광주광역시 북구청,249,"131,214",2011,2011.04.04,장복수,소와 민들레,서양화,구입,,,,,개방불가,구두 동의 이후 회신 없음,
,32,광주광역시 북구청,250,,2011,2011.04.04,김희준,몽환의 풍경,서양화,기증,김희준,,,,개방불가,구두 동의 이후 회신 없음,
